event_id,split_group,label,reviewed,reviewer,source_reference,is_demo,mean_frp,max_frp,mean_brightness,max_brightness,quality_mean,duration_hours,detection_count,night_fraction,spatial_spread_km,persistence_days,detection_frequency,recurrence_count,historical_mean_frp,historical_max_frp,historical_std_frp,historical_baseline_available,distance_to_industrial_m,distance_to_refinery_m,distance_to_powerplant_m,distance_to_factory_m,distance_to_forest_m,distance_to_farmland_m,distance_to_residential_m,nearby_industrial_count,nearby_facility_count,ndvi,vegetation_fraction,built_up_fraction,landuse_industrial,landuse_forest,landuse_farmland
TG-firms-2e2dcb121765f0c09958,hazira_aug_2026,persistent_industrial_thermal_source,true,PRAGYAX_review,"NASA FIRMS: https://firms.modaps.eosdis.nasa.gov/map/index.html ; OSM industrial/factory context verified at 21.1084825,72.64331 ; project historical FIRMS recurrence checked",false,2.5475,4.1,307.8925,316.57,0.5,23.683333333333334,4.0,1.0,0.8935012573412516,2.0,0.1688951442646024,2.0,,,,0.0,0.0,,1036.0,0.0,,3064.0,565.7,8.0,14.0,,,,1.0,0.0,0.0
TG-firms-3297f9d156835a0a1537,angul_talcher_sep_2026,possible_false_positive,true,PRAGYAX_review,NASA FIRMS: https://firms.modaps.eosdis.nasa.gov/map/index.html ; project FIRMS observation and stored geospatial context reviewed,false,2.7466666666666666,3.87,304.86999999999995,315.69,0.5,0.0,3.0,1.0,1.1637629988763556,1.0,3.0,1.0,,,,0.0,,,,,,,,,,,,,,,
TG-firms-3397d3c737eba55ac004,unmapped_sep_2026,industrial_fire,true,PRAGYAX_review,NASA FIRMS: https://firms.modaps.eosdis.nasa.gov/map/index.html ; project FIRMS observation and stored geospatial context reviewed,false,7.09,7.09,338.96,338.96,0.5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,0.0,0.0,,,,,,,1.0,1.0,,,,1.0,0.0,0.0
TG-firms-34beb5f4914d6766742b,angul_talcher_sep_2026,natural_thermal_event,true,PRAGYAX_review,NASA FIRMS: https://firms.modaps.eosdis.nasa.gov/map/index.html ; project FIRMS observation and stored geospatial context reviewed,false,1.3900000000000001,1.48,302.015,305.39,0.5,0.0,2.0,1.0,0.3615765526808857,1.0,2.0,3.0,,,,0.0,,,,,,,,,,,,,,,
TG-firms-354f64e5836d2a13c442,chandrapur_sep_2026,agricultural_vegetation_fire,true,PRAGYAX_review,NASA FIRMS: https://firms.modaps.eosdis.nasa.gov/map/index.html ; project FIRMS observation and stored geospatial context reviewed,false,0.78,0.78,300.58,300.58,0.5,0.0,1.0,1.0,0.0,1.0,1.0,1.0,,,,0.0,,,,,,,,,,,,,,,
TG-firms-439758d35ce9920ad43e,angul_talcher_sep_2026,persistent_industrial_thermal_source,true,PRAGYAX_review,NASA FIRMS: https://firms.modaps.eosdis.nasa.gov/map/index.html ; project FIRMS observation and stored geospatial context reviewed,false,1.4700000000000002,1.61,304.425,305.69,0.5,0.0,2.0,1.0,0.1708540226856562,1.0,2.0,0.0,,,,0.0,,,,,,,,,,,,,,,
TG-firms-484050869f0b38f9404f,hazira_aug_2026,industrial_fire,true,PRAGYAX_review,NASA FIRMS: https://firms.modaps.eosdis.nasa.gov/map/index.html ; project FIRMS observation and stored geospatial context reviewed,false,0.97,1.2,303.25,305.36,0.5,0.0,2.0,1.0,0.6191367042936229,1.0,2.0,8.0,4.718570075757576,15.08,3.3129565529139517,1.0,,,,,,,,,,,,,,,
TG-firms-4ee5757a7f0de593d158,korba_sep_2026,natural_thermal_event,true,PRAGYAX_review,NASA FIRMS: https://firms.modaps.eosdis.nasa.gov/map/index.html ; OSM industrial context verified at <coordinates>; repeated FIRMS observations verified from ThermaGuard historical data,false,2.095,2.5,314.5025,337.04,0.5,0.0,8.0,1.0,0.7386948179733144,1.0,8.0,1.0,,,,0.0,0.0,,1326.4,0.0,,3341.0,197.0,8.0,13.0,0.1447,,,1.0,0.0,0.0
TG-firms-59781240d8e0ae0f3170,angul_talcher_sep_2026,agricultural_vegetation_fire,true,PRAGYAX_review,NASA FIRMS: https://firms.modaps.eosdis.nasa.gov/map/index.html ; project FIRMS observation and stored geospatial context reviewed,false,3.1133333333333333,4.69,317.9266666666667,334.7,0.5,0.0,3.0,1.0,0.8186206512153059,1.0,3.0,0.0,,,,0.0,,,,,,,,,,,,,,,
TG-firms-60e7cd96804a5f491c70,korba_sep_2026,possible_false_positive,true,PRAGYAX_review,"NASA FIRMS: https://firms.modaps.eosdis.nasa.gov/map/index.html ; coordinates=22.33052,82.60535 ; stored recurrence_count=0.0",false,0.57,0.57,296.65,296.65,0.5,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,,,0.0,,,,,,,,,,,,,,,
TG-firms-6749113594d45d6c749a,punjab_aug_2026,industrial_fire,true,PRAGYAX_review,NASA FIRMS: https://firms.modaps.eosdis.nasa.gov/map/index.html ; OSM industrial context verified at <coordinates>; repeated FIRMS observations verified from ThermaGuard historical data,false,5.242727272727273,11.1,323.7327272727273,355.87,0.5,34.88333333333333,11.0,0.8181818181818182,0.8802833018766287,3.0,0.3153368370759675,6.0,4.9743055555555555,15.08,3.7170910139126097,1.0,0.0,,1344.9,0.0,,3288.7,249.4,8.0,13.0,,,,1.0,0.0,0.0
TG-firms-67b1a7dc95a8e01f5d5c,punjab_plains_sep_2026,natural_thermal_event,true,PRAGYAX_review,NASA FIRMS: https://firms.modaps.eosdis.nasa.gov/map/index.html ; project FIRMS observation and stored geospatial context reviewed,false,4.59,4.59,335.64,335.64,0.5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,0.0,,,,,,,,,,,,,,,
TG-firms-870b462a74eed7e91086,angul_talcher_sep_2026,agricultural_vegetation_fire,true,PRAGYAX_review,NASA FIRMS: https://firms.modaps.eosdis.nasa.gov/map/index.html ; project FIRMS observation and stored geospatial context reviewed,false,1.67,1.67,315.54,325.41,0.5,0.0,2.0,1.0,0.17498569978780856,1.0,2.0,1.0,,,,0.0,,,,,,,,,,,,,,,
TG-firms-889ac864d33ccc099b73,hazira_aug_2026,natural_thermal_event,true,PRAGYAX_review,NASA FIRMS: https://firms.modaps.eosdis.nasa.gov/map/index.html ; OSM industrial context verified at <coordinates>; repeated FIRMS observations verified from ThermaGuard historical data,false,1.08,1.08,308.94,308.94,0.5,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,,,0.0,,,,,,,,,,,,,,,
TG-firms-a6367d32ffac13eeece8,korba_sep_2026,possible_false_positive,true,PRAGYAX_review,"NASA FIRMS: https://firms.modaps.eosdis.nasa.gov/map/index.html ; coordinates=22.32055,82.56607 ; stored recurrence_count=0.0",false,1.13,1.13,296.17,296.17,0.5,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,,,0.0,,,,,,,,,,,,,,,
TG-firms-b0ae4b5defa0316c3a71,punjab_sep_2026,possible_false_positive,true,PRAGYAX_review,"NASA FIRMS: https://firms.modaps.eosdis.nasa.gov/map/index.html ; coordinates=31.21099,75.96707 ; stored recurrence_count=0.0",false,2.47,2.47,329.07,329.07,0.5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,0.0,,,,,,,,,,,,,,,
TG-firms-b21337d75f2e1696a2f7,chandrapur_aug_2026,possible_false_positive,true,PRAGYAX_review,NASA FIRMS: https://firms.modaps.eosdis.nasa.gov/map/index.html ; OSM industrial context verified at <coordinates>; repeated FIRMS observations verified from ThermaGuard historical data,false,1.52,1.52,333.62,333.62,0.5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,0.0,,,,,,,,,,,,,,,
TG-firms-d8592b532b1f032e87ac,angul_talcher_sep_2026,possible_false_positive,true,PRAGYAX_review,NASA FIRMS: https://firms.modaps.eosdis.nasa.gov/map/index.html ; OSM industrial context verified at <coordinates>; repeated FIRMS observations verified from ThermaGuard historical data,false,3.06,3.43,307.34000000000003,308.27,0.5,0.0,2.0,1.0,0.28157430836208125,1.0,2.0,3.0,,,,0.0,0.0,,958.9,0.0,,3544.0,182.1,8.0,13.0,,,,1.0,0.0,0.0
TG-firms-e604d8716e6054d028d6,hazira_aug_2026,persistent_industrial_thermal_source,true,PRAGYAX_review,"NASA FIRMS: https://firms.modaps.eosdis.nasa.gov/map/index.html ; coordinates=21.10433,72.64272 ; stored OSM landuse=industrial ; stored recurrence_count=7.0",false,2.66,2.66,305.89,305.89,0.5,0.0,1.0,1.0,0.0,1.0,1.0,7.0,5.012651515151515,15.08,3.442639165444925,1.0,0.0,,1216.8,0.0,,3491.5,102.8,8.0,13.0,,,,1.0,0.0,0.0
TG-firms-eb7aff5b08219fa0be97,chandrapur_sep_2026,agricultural_vegetation_fire,true,PRAGYAX_review,NASA FIRMS: https://firms.modaps.eosdis.nasa.gov/map/index.html ; project FIRMS observation and stored geospatial context reviewed,false,1.84,1.84,300.96,300.96,0.5,0.0,1.0,1.0,0.0,1.0,1.0,1.0,,,,0.0,,,,,,,,,,,,,,,
TG-firms-ee98742f57357bb34854,unmapped_sep_2026,industrial_fire,true,PRAGYAX_review,NASA FIRMS: https://firms.modaps.eosdis.nasa.gov/map/index.html ; project FIRMS observation and stored geospatial context reviewed,false,2.57,2.57,332.7,332.7,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,0.0,3032.3,,,,,,4045.9,3.0,4.0,0.1865,,,,,
TG-firms-fcadf627a5f638a49e60,angul_talcher_sep_2026,possible_false_positive,true,PRAGYAX_review,"NASA FIRMS: https://firms.modaps.eosdis.nasa.gov/map/index.html ; coordinates=21.07918,85.03577 ; stored recurrence_count=0.0",false,2.47,2.47,300.85,300.85,0.5,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,,,0.0,,,,,,,,,,,,,,,
TG-firms-fd17266b4d6fdaaa1026,angul_talcher_sep_2026,natural_thermal_event,true,PRAGYAX_review,NASA FIRMS: https://firms.modaps.eosdis.nasa.gov/map/index.html ; project FIRMS observation and stored geospatial context reviewed,false,2.798,6.34,318.76,332.66,0.5,12.466666666666667,5.0,0.8,0.45917505806403447,1.0,0.40106951871657753,1.0,,,,0.0,,,,,,,,,,,,,,,
